task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
314	eb/ae4871	163717	SUSIE_FINE_MAPPING (313)	COMPLETED	0	2022-01-12 15:18:06.587	1m 31s	59.5s	43.5%	839.6 MB	1.1 GB	54.6 MB	6.3 KB
313	bc/99c230	163718	SUSIE_FINE_MAPPING (312)	COMPLETED	0	2022-01-12 15:18:06.841	1m 30s	1m 1s	45.7%	1.7 GB	2 GB	79.1 MB	6.3 KB
315	07/31f90b	163720	SUSIE_FINE_MAPPING (314)	COMPLETED	0	2022-01-12 15:18:08.347	1m 29s	1m 1s	43.0%	798.9 MB	1.1 GB	51.9 MB	7 KB
317	92/3d3258	163722	SUSIE_FINE_MAPPING (316)	COMPLETED	0	2022-01-12 15:18:09.894	1m 27s	58.8s	36.3%	680.1 MB	999.2 MB	40.5 MB	6.1 KB
348	5f/4fb8dc	163753	SUSIE_FINE_MAPPING (347)	COMPLETED	0	2022-01-12 15:18:23.996	1m 13s	49.8s	77.1%	1.3 GB	1.6 GB	72.6 MB	6.3 KB
368	2e/9e1ecd	163772	SUSIE_FINE_MAPPING (367)	COMPLETED	0	2022-01-12 15:18:33.980	1m 4s	28.6s	33.7%	515.8 MB	837.1 MB	37.2 MB	8.3 KB
369	f9/5fb9b3	163774	SUSIE_FINE_MAPPING (368)	COMPLETED	0	2022-01-12 15:18:35.607	1m 2s	33.7s	42.2%	956.9 MB	1.3 GB	56.4 MB	6.3 KB
374	39/f78dcb	163779	SUSIE_FINE_MAPPING (373)	COMPLETED	0	2022-01-12 15:18:38.203	59.6s	30.9s	36.9%	584.1 MB	784.6 MB	57.6 MB	6.3 KB
379	b3/9a8a55	163785	SUSIE_FINE_MAPPING (378)	COMPLETED	0	2022-01-12 15:18:47.591	50.4s	32.1s	41.1%	850.2 MB	1 GB	53.8 MB	6.3 KB
382	e2/e751f3	163788	SUSIE_FINE_MAPPING (381)	COMPLETED	0	2022-01-12 15:18:52.280	45.8s	27.5s	38.5%	675.9 MB	999.4 MB	37.6 MB	7.3 KB
383	d4/9de115	163789	SUSIE_FINE_MAPPING (382)	COMPLETED	0	2022-01-12 15:18:52.511	45.7s	28.3s	41.3%	744.7 MB	1 GB	42.7 MB	6.4 KB
384	98/8f0553	163790	SUSIE_FINE_MAPPING (383)	COMPLETED	0	2022-01-12 15:18:53.040	45.3s	26.5s	41.1%	621.7 MB	815.6 MB	35.5 MB	11 KB
400	4f/0055c0	163806	SUSIE_FINE_MAPPING (399)	COMPLETED	0	2022-01-12 15:19:07.802	30.7s	15.7s	64.5%	1.1 GB	1.4 GB	47.4 MB	7.6 KB
405	e8/ecd68d	163811	SUSIE_FINE_MAPPING (404)	COMPLETED	0	2022-01-12 15:19:12.855	25.7s	17.8s	71.3%	1.1 GB	1.4 GB	52.2 MB	7.3 KB
303	8e/d53442	163707	SUSIE_FINE_MAPPING (302)	COMPLETED	0	2022-01-12 15:18:01.525	1m 40s	1m 3s	46.1%	1.1 GB	1.4 GB	51.9 MB	8.8 KB
304	f4/d5064d	163708	SUSIE_FINE_MAPPING (303)	COMPLETED	0	2022-01-12 15:18:02.146	1m 40s	1m 4s	45.2%	903.7 MB	1.2 GB	42.8 MB	10.3 KB
367	e6/1c873f	163773	SUSIE_FINE_MAPPING (366)	COMPLETED	0	2022-01-12 15:18:35.366	1m 7s	36.5s	46.4%	510.9 MB	833.2 MB	37 MB	7.1 KB
378	7b/09d065	163784	SUSIE_FINE_MAPPING (377)	COMPLETED	0	2022-01-12 15:18:47.383	54.8s	35.4s	45.8%	647.6 MB	969.4 MB	37.6 MB	13.4 KB
380	bf/b60705	163786	SUSIE_FINE_MAPPING (379)	COMPLETED	0	2022-01-12 15:18:48.181	54s	31.7s	40.5%	785 MB	979.3 MB	47.6 MB	9.4 KB
221	7f/248c51	163595	SUSIE_FINE_MAPPING (220)	COMPLETED	0	2022-01-12 15:16:20.752	3m 26s	2m 53s	84.7%	991.4 MB	1.3 GB	43.4 MB	8 KB
387	e7/b49336	163793	SUSIE_FINE_MAPPING (386)	COMPLETED	0	2022-01-12 15:18:57.767	49.3s	24.7s	37.5%	494.7 MB	688.1 MB	41.8 MB	6.3 KB
401	23/b27e6e	163807	SUSIE_FINE_MAPPING (400)	COMPLETED	0	2022-01-12 15:19:08.007	39.5s	20.5s	42.8%	249.5 MB	501.2 MB	52.4 MB	6.3 KB
404	80/012bf0	163809	SUSIE_FINE_MAPPING (403)	COMPLETED	0	2022-01-12 15:19:12.709	34.9s	21.6s	69.1%	612 MB	940.1 MB	49.7 MB	8.3 KB
408	ea/9d7ede	163814	SUSIE_FINE_MAPPING (407)	COMPLETED	0	2022-01-12 15:19:13.736	38.3s	21.4s	42.1%	216.4 MB	471.1 MB	49.2 MB	6.3 KB
417	b3/b17c3a	163823	SUSIE_FINE_MAPPING (416)	COMPLETED	0	2022-01-12 15:19:21.692	30.7s	19.7s	50.4%	1.3 GB	1.7 GB	54.7 MB	6.7 KB
416	b9/7050c2	163824	SUSIE_FINE_MAPPING (415)	COMPLETED	0	2022-01-12 15:19:22.738	29.8s	16.1s	41.3%	563.2 MB	810.5 MB	38.7 MB	6.4 KB
112	ac/cfc325	163401	SUSIE_FINE_MAPPING (111)	COMPLETED	0	2022-01-12 15:14:59.553	4m 57s	4m 42s	88.6%	926.2 MB	1.2 GB	43.7 MB	6.8 KB
306	91/0d361e	163710	SUSIE_FINE_MAPPING (305)	COMPLETED	0	2022-01-12 15:18:02.865	1m 54s	1m 18s	54.5%	634.1 MB	954.8 MB	38.7 MB	8 KB
403	0a/09a8d0	163808	SUSIE_FINE_MAPPING (402)	COMPLETED	0	2022-01-12 15:19:11.944	45.3s	30.7s	54.6%	764.4 MB	955 MB	53.5 MB	6.3 KB
